date,shop,genre,predicted_sales
2019-05-16,12234,214781,24776
2019-05-17,12234,214781,24986
2019-05-18,12234,214781,28449
2019-05-19,12234,214781,23936
2019-05-20,12234,214781,36334
2019-05-21,12234,214781,22498
2019-05-22,12234,214781,23048
2019-05-23,12234,214781,19399
2019-05-24,12234,214781,17262
2019-05-25,12234,214781,28576
2019-05-26,12234,214781,19156
2019-05-27,12234,214781,19036
2019-05-28,12234,214781,19001
2019-05-29,12234,214781,19142
2019-05-30,12234,214781,28524
2019-05-31,12234,214781,17478
2019-05-10,12234,216424,192
2019-05-14,12234,216424,770
2019-05-17,12234,216424,1047
2019-05-18,12234,216424,1142
2019-05-30,12234,216424,1485
2019-05-08,12234,507843,20
2019-05-11,12234,507843,21
2019-05-21,12234,507843,19
2019-05-27,12234,507843,18
2019-05-28,12234,507843,18
2019-05-29,12234,507843,18
2019-05-30,12234,507843,27
2019-05-01,12234,567645,17531
2019-05-02,12234,567645,16635
2019-05-03,12234,567645,13880
2019-05-04,12234,567645,13294
2019-05-05,12234,567645,20894
2019-05-06,12234,567645,12609
2019-05-07,12234,567645,13490
2019-05-08,12234,567645,13923
2019-05-09,12234,567645,12986
2019-05-10,12234,567645,18661
2019-05-11,12234,567645,14407
2019-05-12,12234,567645,16693
2019-05-13,12234,567645,14229
2019-05-14,12234,567645,14659
2019-05-15,12234,567645,18233
2019-05-16,12234,567645,15448
2019-05-17,12234,567645,13050
2019-05-18,12234,567645,15011
2019-05-19,12234,567645,11794
2019-05-20,12234,567645,19426
2019-05-21,12234,567645,13295
2019-05-22,12234,567645,14768
2019-05-23,12234,567645,13669
2019-05-24,12234,567645,13067
2019-05-25,12234,567645,21311
2019-05-26,12234,567645,14249
2019-05-27,12234,567645,12650
2019-05-28,12234,567645,11806
2019-05-29,12234,567645,10978
2019-05-30,12234,567645,16155
2019-05-31,12234,567645,9250
2019-05-01,12356,110435,17327
2019-05-02,12356,110435,14595
2019-05-03,12356,110435,10186
2019-05-04,12356,110435,9819
2019-05-05,12356,110435,15301
2019-05-06,12356,110435,10581
2019-05-07,12356,110435,10552
2019-05-08,12356,110435,9663
2019-05-09,12356,110435,9253
2019-05-10,12356,110435,13609
2019-05-11,12356,110435,11968
2019-05-12,12356,110435,14633
2019-05-13,12356,110435,15935
2019-05-14,12356,110435,16542
2019-05-15,12356,110435,19339
2019-05-16,12356,110435,16410
2019-05-17,12356,110435,14674
2019-05-18,12356,110435,14593
2019-05-19,12356,110435,14844
2019-05-20,12356,110435,13559
2019-05-21,12356,110435,10923
2019-05-22,12356,110435,9619
2019-05-23,12356,110435,7494
2019-05-24,12356,110435,6993
2019-05-25,12356,110435,9710
2019-05-26,12356,110435,8365
2019-05-27,12356,110435,8015
2019-05-28,12356,110435,8792
2019-05-29,12356,110435,8629
2019-05-30,12356,110435,10705
2019-05-31,12356,110435,8650
2019-05-01,12805,100487,1
2019-05-04,12805,100487,1
2019-05-06,12805,100487,1
2019-05-11,12805,100487,1
2019-05-14,12805,100487,1
2019-05-16,12805,100487,1
2019-05-17,12805,100487,1
2019-05-18,12805,100487,1
2019-05-19,12805,100487,1
2019-05-20,12805,100487,1
2019-05-21,12805,100487,1
2019-05-23,12805,100487,1
2019-05-25,12805,100487,1
2019-05-26,12805,100487,1
2019-05-27,12805,100487,1
2019-05-28,12805,100487,1
2019-05-29,12805,100487,1
2019-05-30,12805,100487,1
2019-05-01,12805,205582,1075
2019-05-02,12805,205582,1143
2019-05-03,12805,205582,1149
2019-05-04,12805,205582,1272
2019-05-05,12805,205582,417
2019-05-06,12805,205582,191
2019-05-07,12805,205582,190
2019-05-08,12805,205582,188
2019-05-09,12805,205582,200
2019-05-10,12805,205582,338
2019-05-11,12805,205582,223
2019-05-12,12805,205582,234
2019-05-13,12805,205582,191
2019-05-14,12805,205582,190
2019-05-16,12805,205582,1314
2019-05-17,12805,205582,1320
2019-05-20,12805,205582,2057
2019-05-21,12805,205582,1244
2019-05-22,12805,205582,1236
2019-05-24,12805,205582,1320
2019-05-25,12805,205582,2555
2019-05-26,12805,205582,434
2019-05-28,12805,205582,351
2019-05-30,12805,205582,622
2019-05-01,12805,206440,314
2019-05-02,12805,206440,572
2019-05-03,12805,206440,535
2019-05-05,12805,206440,495
2019-05-06,12805,206440,529
2019-05-07,12805,206440,798
2019-05-08,12805,206440,852
2019-05-09,12805,206440,1117
2019-05-10,12805,206440,1251
2019-05-11,12805,206440,1106
2019-05-12,12805,206440,1133
2019-05-13,12805,206440,764
2019-05-14,12805,206440,566
2019-05-15,12805,206440,657
2019-05-16,12805,206440,339
2019-05-17,12805,206440,315
2019-05-18,12805,206440,318
2019-05-19,12805,206440,251
2019-05-21,12805,206440,240
2019-05-22,12805,206440,224
2019-05-23,12805,206440,227
2019-05-24,12805,206440,213
2019-05-25,12805,206440,315
2019-05-26,12805,206440,220
2019-05-27,12805,206440,169
2019-05-28,12805,206440,181
2019-05-29,12805,206440,193
2019-05-30,12805,206440,271
2019-05-31,12805,206440,183
2019-05-01,12805,408789,9
2019-05-02,12805,408789,9
2019-05-04,12805,408789,9
2019-05-05,12805,408789,15
2019-05-06,12805,408789,10
2019-05-08,12805,408789,9
2019-05-09,12805,408789,9
2019-05-13,12805,408789,10
2019-05-14,12805,408789,10
2019-05-16,12805,408789,9
2019-05-18,12805,408789,9
2019-05-19,12805,408789,10
2019-05-20,12805,408789,14
2019-05-21,12805,408789,10
2019-05-22,12805,408789,9
2019-05-24,12805,408789,9
2019-05-25,12805,408789,13
2019-05-26,12805,408789,10
2019-05-27,12805,408789,10
2019-05-29,12805,408789,9
2019-05-30,12805,408789,13
2019-05-31,12805,408789,9
