shop,genre,sales,units,page_views
16027,206363,0,0,25
16027,207288,2200,5,652
16027,216173,0,0,416
16027,216424,3760,2,30
16027,301577,15000,2,299
16027,401534,1031380,662,29274
16027,402279,8000,6,530
16027,408789,121250,91,7989
16027,508456,0,0,21
16027,551228,11400,3,695
16027,551732,1158780,881,19563
16027,551736,1661420,2098,46422
16027,567434,341050,124,4696
16027,567538,0,0,13
16031,100181,25300,11,571
16031,110365,0,0,46
16031,201925,228800,38,5147
16031,205611,0,0,1033
16031,207288,990,1,214
16031,401534,3520,1,39
16031,402279,0,0,35
16031,408789,11990,3,341
16031,551180,0,0,17
16031,551228,9900,1,453
16031,560271,0,0,80
16036,110365,20900,3,367
16036,200181,1042349,116,4711
16036,201632,228607,52,2216
16036,201925,2072129,127,24738
16036,204586,7980,1,933
16036,205272,4451377,209,10728
16036,205582,7480,1,265
16036,205611,3334543,145,8529
16036,206440,0,0,267
16036,207288,299334,61,5817
16036,212377,5500,1,1696
16036,214099,16260,11,843
16036,215913,4561697,239,49825
16036,216158,26939,3,370
16036,216173,2030159,416,18109
16036,301577,21015558,548,95833
16036,304080,271189,10,7445
16036,401131,0,0,119
16036,401534,582209,66,7889
16036,402279,1155385,269,21764
16036,407120,2109808,224,23088
16036,408789,140404,19,5796
16036,502221,1642963,40,22124
16036,502280,2910385,144,34669
16036,506012,94600,2,177
16036,551180,587536,93,9183
16036,551228,21697,3,700
16036,551732,103151,17,1855
16036,551736,10136,4,1062
16036,554973,83600,2,1096
16036,558846,4379014,639,108586
16036,558873,1356870,36,13690
16036,560271,394137,59,6225
16036,567538,0,0,81
16036,567554,0,0,142
16075,100487,0,0,19
16075,508599,317138,170,4147
1610,110365,460020,69,1892
1610,200181,53202563,7277,110436
1610,201632,7476126,1595,41351
1610,201925,178482119,11089,816250
1610,204586,354500,12,1975
1610,205272,206133983,10054,264837
1610,205582,106920,12,1162
1610,205611,120719120,5421,227524
1610,206440,548754,46,3157
1610,207288,13581043,2855,104820
1610,212377,133210,11,3323
1610,214099,309296,234,5823
1610,215913,343677655,16687,1391297
1610,216158,8719178,2068,79608
1610,216173,55900313,11625,174987
1610,301577,984000003,21625,1529482
1610,304080,20551757,653,102024
1610,401131,36740,6,2710
1610,401534,59627852,7547,291312
1610,402279,48553340,11368,416374
1610,407120,198601910,24577,572104
1610,408789,5166785,602,36973
1610,502221,81973492,2015,273694
1610,502280,124990248,5784,451758
1610,506012,525800,12,414
1610,551180,27166817,6607,206260
1610,551228,3416966,133,8469
1610,551732,2403207,344,16184
1610,551736,726791,258,14720
1610,554973,1461157,47,6407
1610,558846,149391684,23661,1225365
1610,558873,100505400,2392,305583
1610,560271,3606214,428,22017
1610,567538,5500,4,774
1610,567554,49998,2,503
16156,216173,1200,1,16
16278,509434,435401,227,4772
16278,560271,16930,13,613
16282,110365,90200,26,1077
16282,207288,99440,17,3014
16282,502280,28600,1,294
16282,509434,0,0,1
16282,560271,11333601,2464,133583
16324,205582,0,0,21
16324,551228,983183,70,11537
16324,563689,24320,4,204
16400,401534,1600,1,411
16400,551228,0,0,448
16613,216158,73510,7,691
16676,207288,219260,29,1180
16676,408789,0,0,1
16676,502221,0,0,40
16676,502280,0,0,3
16713,207288,8880,13,628
16713,560271,0,0,43
1672,205582,0,0,68
1672,205611,172000,8,2626
1672,207288,84700,40,1480
1672,216158,17000,2,121
1672,407120,8500,1,58
1672,408789,21500,4,467
1672,551228,54000,2,2130
1672,551732,19200,4,177
1672,551736,24700,19,334
16739,204586,0,0,13
16739,207288,0,0,7
16739,208532,32000,1,79
16739,301577,1456440,18,9018
16739,502280,0,0,2
16739,502835,41828458,1515,133221
16739,506012,1753890,35,8196
16739,508456,1142468,50,2885
16739,509417,10773,3,328
16739,509434,62140,36,1162
16739,554973,229500,16,972
16739,558873,0,0,10
16739,564286,9014140,65,24716
16739,564895,2129626,53,9854
16739,566403,11040400,319,47000
16765,206361,110196975,17579,566555
16765,206363,6049845,1128,44324
