date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2018-12-01,555421,118047251.22,56221845.26,265346462.43,11955,5692,26870,9875.315006883891
2018-12-01,558754,70657089.52,33651541.4,142562401.78,5439,2590,10971,12995.143152099105
2018-12-01,558846,120422329.25,75735689.99,196509300.71,20006,12581,32651,6019.161663393748
2018-12-01,558873,137891386.08,65672923.96,309952083.79,6565,3130,14758,21004.911831732472
2018-12-01,560271,205620181.75,131369402.11,360301410.05,80082,51160,140323,2567.607616209098
2018-12-01,562641,131473616.58,62616361.72,295526230.83,590,282,1321,223424.51923908343
2018-12-01,563339,75805236.95,45716927.730000004,169044749.51,13626,8218,30384,5563.724251033785
2018-12-01,563342,92202657.26,43912954.7,207253018.99,8374,3989,18827,11008.744115753449
2018-12-01,563689,66945223.410000004,31883707.57,150479390.27,2448,1166,5502,27359.00438158198
2018-12-01,564286,120197830.5,57246090.8,235518697.01999998,1297,615,2535,92780.03373926932
2018-12-01,564647,59046491.02,28121812.65,113317870.39999999,5474,2609,10505,10785.112817362817
2018-12-01,564895,118329951.84,56356485.47,265981916.76,4459,2126,10026,26534.305091333074
2018-12-01,565724,49782413.34,23709651.11,111900847.11,12794,6091,28763,3890.379667204613
2018-12-01,566061,21701570.330000002,11439053.16,41440897.660000004,4055,2138,7747,5350.074248286675
2018-12-01,566403,596181549.55,283940765.53000003,1340096136.74,14816,7053,33301,40243.90567677599
2018-12-01,566647,188793520.32999998,89915859.64,424369839.35,20601,9813,46304,9164.447537856207
2018-12-01,567251,81812908.0,38964674.81,183898952.62,10582,5041,23786,7731.889656791537
2018-12-01,567434,15065707.12,7175278.38,27076711.46,1359,649,2438,11083.799460686914
2018-12-01,567538,74053146.76,35268967.43,166456572.21,11071,5271,24878,6690.245491022575
2018-12-01,567554,41787857.04,20530296.82,93930692.15,1998,983,4494,20905.758924298974
2018-12-01,567623,49125241.48,26575730.31,110423656.02,9156,4956,20585,5364.193511250654
2018-12-01,567645,55552209.88,33549201.18,87499893.66,23349,14102,36779,2379.2554658793356
2018-12-01,567662,50020693.64,30842847.99,89175466.77,6101,3762,10875,8199.213620356697
2018-12-01,567664,82099153.93,44012905.51,169206167.38,10802,5790,22261,7600.93406249449
2018-12-01,567665,44677598.28,21278402.7,100426247.13,4538,2165,10209,9838.443692888037
2018-12-01,all,9414369053.34,4962864033.92,19453215348.01,1250476,691019,2489534,7607.604265590545
2019-01-01,100181,23306356.14,11100014.8,52387997.9,758,361,1705,30756.037362286443
2019-01-01,100487,34222291.25,16298901.01,76924823.67,6840,3258,15374,5003.394164301826
